Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_EIA-3528-21_Kemet-B,103.713695,-107.78445,90.0,top
C2,100nF,C_0603_1608Metric,103.698624,-111.050108,180.0,top
D1,D_Schottky_B5819W-SL,D_SOD-123,103.052125,-115.093697,180.0,top
D2,D_Schottky_B5819W-SL,D_SOD-123,102.993284,-103.806774,180.0,top
IC1,MAX7219CWG,SOIC-24W_7.5x15.4mm_P1.27mm,113.81,-109.525203,-90.0,top
P1,Ext PWR,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,97.658472,-109.511747,90.0,top
P2,DataIn,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,91.01,-109.525203,90.0,top
P3,DataOut,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,124.69,-109.46,90.0,top
P4,D0-D5,PinSocket_2x08_P2.54mm_Vertical_SMD,108.731171,-109.546562,270.0,bottom
R2,10k,R_0603_1608Metric,103.698624,-113.02074,0.0,top
