Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,104.6364,-67.8078,0.0,top
C2,100n,C_0805_2012Metric,109.183,-84.0638,0.0,top
C3,100n,C_0805_2012Metric,104.4586,-84.1146,180.0,top
C4,100n,C_0805_2012Metric,108.6496,-100.2182,0.0,top
C5,47u,CP_EIA-3528-21_Kemet-B,95.33,-50.17,90.0,top
D1,LED1,LED_0402_1005Metric,72.6324,-58.7175,-90.0,top
D10,LED10,LED_0402_1005Metric,90.895,-66.0457,-90.0,top
D11,LED11,LED_0402_1005Metric,90.9458,-73.0164,-90.0,top
D12,LED12,LED_0402_1005Metric,90.9458,-80.4864,-90.0,top
D13,LED13,LED_0402_1005Metric,90.9458,-87.7,-90.0,top
D14,LED14,LED_0402_1005Metric,90.9458,-94.6247,-90.0,top
D15,LED15,LED_0402_1005Metric,90.9458,-101.7438,-90.0,top
D16,LED16,LED_0402_1005Metric,90.9458,-109.4654,-90.0,top
D17,LED17,LED_0402_1005Metric,122.9244,-58.761,-90.0,top
D18,LED18,LED_0402_1005Metric,122.9498,-65.9766,-90.0,top
D19,LED19,LED_0402_1005Metric,122.9244,-73.0358,-90.0,top
D2,LED2,LED_0402_1005Metric,72.6578,-66.1083,-90.0,top
D20,LED20,LED_0402_1005Metric,122.9498,-80.478,-90.0,top
D21,LED21,LED_0402_1005Metric,122.9498,-87.465,-90.0,top
D22,LED22,LED_0402_1005Metric,122.9498,-94.8056,-90.0,top
D23,LED23,LED_0402_1005Metric,122.9752,-102.068,-90.0,top
D24,LED24,LED_0402_1005Metric,122.9498,-109.3578,-90.0,top
D25,LED25,LED_0402_1005Metric,141.6188,-58.509,-90.0,top
D26,LED26,LED_0402_1005Metric,141.6188,-65.9746,-90.0,top
D27,LED27,LED_0402_1005Metric,141.6188,-73.1882,-90.0,top
D28,LED28,LED_0402_1005Metric,141.6188,-80.7574,-90.0,top
D29,LED29,LED_0402_1005Metric,141.6188,-87.846,-90.0,top
D3,LED3,LED_0402_1005Metric,72.6324,-73.091,-90.0,top
D30,LED30,LED_0402_1005Metric,141.6188,-94.9834,-90.0,top
D31,LED31,LED_0402_1005Metric,141.6188,-102.2204,-90.0,top
D32,LED32,LED_0402_1005Metric,141.6188,-109.2836,-90.0,top
D4,LED4,LED_0402_1005Metric,72.6832,-80.3054,-90.0,top
D5,LE5,LED_0402_1005Metric,72.6578,-87.7698,-90.0,top
D6,LED6,LED_0402_1005Metric,72.6324,-94.8818,-90.0,top
D7,LED7,LED_0402_1005Metric,72.6578,-102.0974,-90.0,top
D8,LED8,LED_0402_1005Metric,72.6324,-109.0804,-90.0,top
D9,LED9,LED_0402_1005Metric,90.9458,-58.5638,-90.0,top
J1,BUTTON1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,78.6,-58.05,0.0,top
J10,BUTTON10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,96.95,-65.45,0.0,top
