Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,89.185,-131.24,90.0,top
C2,100n,C_0805_2012Metric,89.185,-100.965,90.0,top
C3,100n,C_0805_2012Metric,124.99,-130.561764,90.0,top
C4,100n,C_0805_2012Metric,125.09,-101.511764,90.0,top
C5,47u,CP_EIA-3528-21_Kemet-B,73.68,-116.15,90.0,top
J1,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,83.15,-80.525,0.0,top
J10,LED10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.43,-87.625,0.0,top
J102,PWR,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,73.21,-124.15,90.0,top
J103,Dim,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,73.21,-77.08,90.0,top
J11,LED11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.43,-94.875,0.0,top
J12,LED12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.405,-102.05,0.0,top
J13,LED13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.38,-109.35,0.0,top
J14,LED14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.38,-116.625,0.0,top
J15,LED15,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.38,-123.875,0.0,top
J16,LED16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.405,-131.125,0.0,top
J17,LED17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-80.485,0.0,top
J18,LED18,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-87.635,0.0,top
J19,LED19,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-94.885,0.0,top
J2,LED2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,83.15,-87.65,0.0,top
J20,LED20,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-102.11,0.0,top
J21,LED21,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-109.36,0.0,top
J22,LED22,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-116.66,0.0,top
J23,LED23,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-123.835,0.0,top
J24,LED24,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,118.69,-131.11,0.0,top
J25,LED25,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,137.11,-80.48,0.0,top
